cod 	 tweetsemente 	 tweet 	 hashtag 	 seq-cx-alta 	 spcner_nome 	 spcner_local
11 	 STF decide manter a prisão do Deputado @danielPMERJ.  O próximo passo, segundo o Presidente da Câmara, @ArthurLira_, será votação na Câmara para que o plenário, por maioria absoluta, decida sobre a prisão (art. 53 § 2º da CF).  A sessão está marcada para esta quinta-feira (18/2). 	 @CarlaZambelli38 @danielPMERJ @ArthurLira_ O povo sendo obrigado a tomar vacinas fajutas p dar altos lucros, aos marginais responsáveis p sua aquisição e distribuição. O STF cagando sobre o país, povo brasileiro, tds as leis vigentes n Brasil, depois s limpando c a bandeira nacional. NADA E NINGUÉM P FREAR OS DESMANDOS! 	 0 	 1 	 0 	 1
12 	 STF decide manter a prisão do Deputado @danielPMERJ.  O próximo passo, segundo o Presidente da Câmara, @ArthurLira_, será votação na Câmara para que o plenário, por maioria absoluta, decida sobre a prisão (art. 53 § 2º da CF).  A sessão está marcada para esta quinta-feira (18/2). 	 @CarlaZambelli38 @danielPMERJ @ArthurLira_ Deixaram chegar onde o STF chegou, agora quero ver daqui para a frente. Calarão o Senado e a Câmara ? Rasgaram a constituição Federal na cara de vocês, agora quero ver qual vai ser a posição da Câmara. 	 0 	 0 	 0 	 1
13 	 STF decide manter a prisão do Deputado @danielPMERJ.  O próximo passo, segundo o Presidente da Câmara, @ArthurLira_, será votação na Câmara para que o plenário, por maioria absoluta, decida sobre a prisão (art. 53 § 2º da CF).  A sessão está marcada para esta quinta-feira (18/2). 	 @CarlaZambelli38 @danielPMERJ @ArthurLira_ A responsabilidade dos envolvidos nesta decisão é IMENSA e representará um divisor de águas no futuro das liberdades de manifestações de TODOS os deputados que estarão sujeitos ao conceito do que seria excessivo julgado com base em princípios pré-determinados 	 0 	 1 	 0 	 0
14 	 STF decide manter a prisão do Deputado @danielPMERJ.  O próximo passo, segundo o Presidente da Câmara, @ArthurLira_, será votação na Câmara para que o plenário, por maioria absoluta, decida sobre a prisão (art. 53 § 2º da CF).  A sessão está marcada para esta quinta-feira (18/2). 	 @CarlaZambelli38 @danielPMERJ @ArthurLira_ não estou vendo mobilização ou indignação da senhora, o ato supremo é de corar as pedras, é a instituição e o conceito de imunidade que está sendo vilipendiado... Lute pela separação de poderes com independência 	 0 	 0 	 0 	 0
15 	 STF decide manter a prisão do Deputado @danielPMERJ.  O próximo passo, segundo o Presidente da Câmara, @ArthurLira_, será votação na Câmara para que o plenário, por maioria absoluta, decida sobre a prisão (art. 53 § 2º da CF).  A sessão está marcada para esta quinta-feira (18/2). 	 @CarlaZambelli38 @danielPMERJ @ArthurLira_ STF feriu vergonhosamente o equilíbrio entre os três poderes. O Congresso precisa intervir. O STF é o Supremo do Judiciário não dos três poderes. O Congresso não pode estar no cabresto do STF. Soltam ladrões perigosíssimos e prendem Representantes eleitos pelo Povo 	 0 	 0 	 1 	 1
16 	 O Conselho de Ética da Câmara vai começar a tratar com rigor algumas ofensas às autoridades dos Poderes. Estou aproveitando e fazendo uma coletânea de insultos contra o PR Bolsonaro. O q acham q o STF pensa sobre esse crime cometido por um deputado do PT? É inafiançável também? https://t.co/JsZF8bazT6 	 @carlosjordy Que isso moço! Se é parlamentar do PT pode até cagar na mesa do presidente da câmara que não dá nada! Quando muito vai pedir pra avisar pra quando for fazer isso não comer muita carne pra merda não sair muito fedida! Só isso 🤪 	 0 	 0 	 1 	 0
17 	 O Conselho de Ética da Câmara vai começar a tratar com rigor algumas ofensas às autoridades dos Poderes. Estou aproveitando e fazendo uma coletânea de insultos contra o PR Bolsonaro. O q acham q o STF pensa sobre esse crime cometido por um deputado do PT? É inafiançável também? https://t.co/JsZF8bazT6 	 @carlosjordy Ótimo! Poderia juntar todas essas provas e encaminhar ao STF, com base na lei de segurança nacional que utilizaram para prender o Daniel, ia ser lindo ver militantes e políticos da extrema esquerda,  jornalistas e artistas que hoje debocham do Daniel, junto com ele na prisão! 	 0 	 0 	 1 	 1
18 	 O Conselho de Ética da Câmara vai começar a tratar com rigor algumas ofensas às autoridades dos Poderes. Estou aproveitando e fazendo uma coletânea de insultos contra o PR Bolsonaro. O q acham q o STF pensa sobre esse crime cometido por um deputado do PT? É inafiançável também? https://t.co/JsZF8bazT6 	 @carlosjordy @Marmingos Pois é,  Deputado! Visto que a maioria prefere se submeter aos limites "discricionários" da imunidade parlamentar, é melhor se adequar a imposição do outro poder. O que vale pra um vale para todos. 	 0 	 0 	 1 	 0
19 	 O Conselho de Ética da Câmara vai começar a tratar com rigor algumas ofensas às autoridades dos Poderes. Estou aproveitando e fazendo uma coletânea de insultos contra o PR Bolsonaro. O q acham q o STF pensa sobre esse crime cometido por um deputado do PT? É inafiançável também? https://t.co/JsZF8bazT6 	 @carlosjordy Bom o STF ja criou a jurisprudência...tem muito vídeo de deputado comunista nas redes falando em morte do PR e tbm ataques a intocável suprema corte das galáxias, estão em uma espiral ininterrupta de fragrante...logo! 	 0 	 0 	 0 	 1
20 	 O Conselho de Ética da Câmara vai começar a tratar com rigor algumas ofensas às autoridades dos Poderes. Estou aproveitando e fazendo uma coletânea de insultos contra o PR Bolsonaro. O q acham q o STF pensa sobre esse crime cometido por um deputado do PT? É inafiançável também? https://t.co/JsZF8bazT6 	 @carlosjordy Nobre Deputado @carlosjordy , já é Sabido que em nada dará. Pois crime inconstitucional e prisão só para Bolsonarista e Conservadores.   É uma Ditadura da toga só perseguem Grupo específico ! 	 0 	 0 	 1 	 1
21 	 Viúvas da ditadura se arvoram contra o STF apoiando deputado bolsonarista que fez apologia à ditadura. Em nome da democracia, o Clube Militar tem q ficar onde está, na reserva e fora da vida pública. É hora de compromisso c/ o desenvolvimento e os verdadeiros interesses do país. 	 @gleisi Tá com "medinho nariz de pinócuo"? O motivo do nariz do personagem pinócuo crescer, era a mentira. O seu medo é porque os Militares foram eleitos pelo povo e serão eleitos novamente. Viva 1964, viva os Militares que nos salvaram do comunismo. #ObrigadoMilitares 	 1 	 0 	 0 	 1
22 	 Viúvas da ditadura se arvoram contra o STF apoiando deputado bolsonarista que fez apologia à ditadura. Em nome da democracia, o Clube Militar tem q ficar onde está, na reserva e fora da vida pública. É hora de compromisso c/ o desenvolvimento e os verdadeiros interesses do país. 	 @gleisi Filha o clube militar tem q ficar onde o povo quer. Eleições definem bem isso, nao acha??? A propósito seu partido não foi bem nas eleicoes ne? Por isso vc acha q os militares nao tem q vir pra vida pública ne... A amante é bem hipócrita ne! 	 0 	 0 	 0 	 1
23 	 Viúvas da ditadura se arvoram contra o STF apoiando deputado bolsonarista que fez apologia à ditadura. Em nome da democracia, o Clube Militar tem q ficar onde está, na reserva e fora da vida pública. É hora de compromisso c/ o desenvolvimento e os verdadeiros interesses do país. 	 @gleisi É hora de dar jeito nesses militares comedores de picanha com leite condensado. Sugiro a leitura do livro do general Villas Boas, a pornografia e balbúrdia com dinheiro público e o antipetismo dessa instituição está toda descrita lá.  O projeto de destruição da Amazonas também. 	 0 	 0 	 1 	 1
24 	 Viúvas da ditadura se arvoram contra o STF apoiando deputado bolsonarista que fez apologia à ditadura. Em nome da democracia, o Clube Militar tem q ficar onde está, na reserva e fora da vida pública. É hora de compromisso c/ o desenvolvimento e os verdadeiros interesses do país. 	 @gleisi Olhei rapidamente a lista dos q votaram pela manutenção ou não da  decisão do STF sobre a prisão do Silveira. Deputados q tem no nome palavras como Sargento, Major, Capitão, Delegado, Policial, General, Coronel, votaram NÃO, raras exceções(na verdade só percebi uma).Coincidência? 	 0 	 0 	 0 	 1
25 	 Viúvas da ditadura se arvoram contra o STF apoiando deputado bolsonarista que fez apologia à ditadura. Em nome da democracia, o Clube Militar tem q ficar onde está, na reserva e fora da vida pública. É hora de compromisso c/ o desenvolvimento e os verdadeiros interesses do país. 	 @gleisi Enquanto @gleisi se vangloria o governo segue forte levando segurança hídrica e desenvolvimento para o nordeste.  A esquerda por anos manteve aquele povo sofrendo por mera e infinita promessa de melhoras e programas sócias em troca de voto.... Perderam de vez o terreno! https://t.co/imwYSSqXlm 	 0 	 0 	 0 	 0
26 	 É impressão ou o presidente da Anvisa - uma entidade da Ciência - usou hoje em entrevista à CNN símbolos da Ordem de Malta? Ele faz parte de entidades ultraconservadoras religiosas? E a TFP? https://t.co/ygWZMyjfaz 	 @jandira_feghali Gente que post mais sem sentido. Em algum momento ele pôs em dúvida a atividade e o conhecimento científico e técnico produzido na Anvisa?? Se não colocou toca o barco e deixa essas bobagens de lado. 	 0 	 0 	 0 	 1
27 	 É impressão ou o presidente da Anvisa - uma entidade da Ciência - usou hoje em entrevista à CNN símbolos da Ordem de Malta? Ele faz parte de entidades ultraconservadoras religiosas? E a TFP? https://t.co/ygWZMyjfaz 	 @jandira_feghali Sinceramente deputada, temos tanto a nos preocupar, nova variante, auxílio que não compra um botijão de gás, Bolsonaro aparelhando as instituições...  e a senhora me vem com essa, francamente . 	 0 	 0 	 0 	 1
28 	 É impressão ou o presidente da Anvisa - uma entidade da Ciência - usou hoje em entrevista à CNN símbolos da Ordem de Malta? Ele faz parte de entidades ultraconservadoras religiosas? E a TFP? https://t.co/ygWZMyjfaz 	 @jandira_feghali Usar SÍMBOLOS de COMUNISTAS, onde mataram mais de 100 MILHÕES de pessoas, ao longo do tempo. AÍ PODE ? Mas usar o SÍMBOLO de uma ORDEM que faz caridade, reproduz o amor, COM AÇÕES, e objetiva o crescimento MORAL E ESPIRITUAL, NÃO PODE ? VC É RETARDADA ?? 	 0 	 1 	 0 	 0
29 	 É impressão ou o presidente da Anvisa - uma entidade da Ciência - usou hoje em entrevista à CNN símbolos da Ordem de Malta? Ele faz parte de entidades ultraconservadoras religiosas? E a TFP? https://t.co/ygWZMyjfaz 	 @jandira_feghali Um religioso n pode ser um homem da ciência? Pascal n era religioso? Newton n era religioso? Mendel n era religioso? De um lado, ofensa ao Estado Laico n é: só a vestimenta n implica que o individuo guia suas atribuições funcionais por seu credo. (1) 	 0 	 0 	 1 	 1
30 	 É impressão ou o presidente da Anvisa - uma entidade da Ciência - usou hoje em entrevista à CNN símbolos da Ordem de Malta? Ele faz parte de entidades ultraconservadoras religiosas? E a TFP? https://t.co/ygWZMyjfaz 	 @jandira_feghali Com todo o respeito que a senhora merece faço uma crítica, vale a pena gastar, energia, tempo e atenção das pessoas nesse tema enquanto o Congresso aprova descalabros contra o país? Esse tema é relevante para o dia de hoje? A oposição tem falhado constantemente na comunicação. 	 0 	 0 	 0 	 0
31 	 Tá proibido esquecer que o Bolsonaro:  - Prometeu extinguir a EBC - Prometeu 15 ministérios - Prometeu combater a corrupção - Prometeu privatizar estatais - Prometeu acabar com reeleição - Prometeu acabar com toma lá dá cá  https://t.co/tL8BYkNJpY 	 @KimKataguiri Ta proibido esquecer q o MBL é um puxadinho do PSDB q é d esquerda. Que deixou claro q preferia Alckimin na presidência pq queriam q o Brasil seguisse na linha do "mais do mesmo." Q puxou o saco do sabotador da república @RodrigoMaia q tracou o país por 4 anos. Sao canalhas. 	 0 	 0 	 1 	 1
32 	 Tá proibido esquecer que o Bolsonaro:  - Prometeu extinguir a EBC - Prometeu 15 ministérios - Prometeu combater a corrupção - Prometeu privatizar estatais - Prometeu acabar com reeleição - Prometeu acabar com toma lá dá cá  https://t.co/tL8BYkNJpY 	 @KimKataguiri O menino do PSOL KIDS resolve lembrar promessas de campanha que ele sabe que não podem ser resolvidas com canetadas. NÃO SEJA BABACA E FAÇA IGUAL A UM HOMEM . NESSE PAÍS DE MERDA PROMESSA DE CAMPANHA SE FAZ O POSSÍVEL COM NEGOCIAÇÕES. HIPOCRITA DOS INFERNOS 	 0 	 1 	 1 	 0
33 	 Tá proibido esquecer que o Bolsonaro:  - Prometeu extinguir a EBC - Prometeu 15 ministérios - Prometeu combater a corrupção - Prometeu privatizar estatais - Prometeu acabar com reeleição - Prometeu acabar com toma lá dá cá  https://t.co/tL8BYkNJpY 	 @KimKataguiri Que vc se elegeu na rabeira dele? E que vcs apoiaram ele 100%? Que vcs defendem uma agenda podre, que perpetua as desigualdades? Q o histórico desse PR já mostrava o q ele era? Q o mbl é cheio de pessoas com pouco estudo-informação que vomitam ideias primitivas e desfuncionais? 	 0 	 0 	 0 	 1
34 	 Tá proibido esquecer que o Bolsonaro:  - Prometeu extinguir a EBC - Prometeu 15 ministérios - Prometeu combater a corrupção - Prometeu privatizar estatais - Prometeu acabar com reeleição - Prometeu acabar com toma lá dá cá  https://t.co/tL8BYkNJpY 	 @KimKataguiri E você prometeu em sua campanha trabalhar para o bem do país de uma maneira nova e diferente, mas a unica coisa que tu está fazendo é ser igual aos que sempre estiveram ai, não está fazendo porra nenhuma para o futuro do Brasil. Vc é uma vergonha 	 0 	 0 	 0 	 1
35 	 Tá proibido esquecer que o Bolsonaro:  - Prometeu extinguir a EBC - Prometeu 15 ministérios - Prometeu combater a corrupção - Prometeu privatizar estatais - Prometeu acabar com reeleição - Prometeu acabar com toma lá dá cá  https://t.co/tL8BYkNJpY 	 @KimKataguiri Também tá proibido esquecer que você e seus pares fizeram de tudo, com as atitudes mais baixas e cretinas, para que esse sujeito estivesse onde está. Então, seu rato, tenha vergonha na cara e assuma tua responsabilidade, que é enorme. Patife. 	 0 	 0 	 0 	 1
36 	 A Câmara acaba de aprovar a autonomia do Banco Central por 339 x 114. Enquanto isso 68 milhões de brasileiros seguem sem o auxílio emergencial. 	 @MarceloFreixo mano eu não entendo a cabeça da esquerda, vcs são doentes, projetos que vão ajudar a economia do Brasil, até mesmo pra ajudar pagar dividas que o próprio auxilio emergencial vai criar... vcs são doentes??? 	 0 	 0 	 0 	 1
37 	 A Câmara acaba de aprovar a autonomia do Banco Central por 339 x 114. Enquanto isso 68 milhões de brasileiros seguem sem o auxílio emergencial. 	 @MarceloFreixo O mais difícil de entender é que especialistas dizem que a aprovação não era benéfica e ainda assim eles aprovam! Oq esses deputados entendem dessa questão?  Tipo assim, não votem a favor pq é ruim para o povo, aí ligam o fodasse e fazem assim mesmo, que porra é essa? 	 0 	 0 	 1 	 0
38 	 A Câmara acaba de aprovar a autonomia do Banco Central por 339 x 114. Enquanto isso 68 milhões de brasileiros seguem sem o auxílio emergencial. 	 @MarceloFreixo Você votou? Provavelmente votou NÃO. Então a pergunta é: você está “tistinho” porque perdeu? Se a autonomia não fosse aprovada você estaria aqui se manifestando contra? Ou estaria exaltando os deputados que entenderam que o BC precisa ter um freio? Totalmente sem noção! 	 0 	 0 	 1 	 1
39 	 A Câmara acaba de aprovar a autonomia do Banco Central por 339 x 114. Enquanto isso 68 milhões de brasileiros seguem sem o auxílio emergencial. 	 @MarceloFreixo Que Deus jamais volte a permitir que qualquer ladrão safado, seja de direita, de esquerda, de cima ou de baixo, chegue perto de um cofre publico novamente. O país ainda não conseguiu se recuperar do arrastão patrocinado pelo PT até hoje. 	 0 	 0 	 0 	 0
40 	 A Câmara acaba de aprovar a autonomia do Banco Central por 339 x 114. Enquanto isso 68 milhões de brasileiros seguem sem o auxílio emergencial. 	 @MarceloFreixo Alguém aqui já perguntou, mas vou reiterar, o que significa, Deputado Freixo, essa autonomia do Banco Central, em seu sentido macro e micro na economia? Eu não sou economista. E acredito que, muitos deputados só tem o ensino médio completo. Quais as consequências? 	 0 	 0 	 1 	 1
41 	 O crime compensa, sim, disse hoje a 2a Turma do STF ao louvar a ação de hackers e dar seguimento ao longo cortejo fúnebre da Lava Jato. Kassio Nunes, que Bolsonaro disse estar 100% alinhado, faz questão de carregar pela alça frontal o caixão do combate à corrupção. Vergonhoso! 	 @marcelvanhattem Já passou da hora de abandonar o barco desse governo Marcel! O que o Bolsonaro quer é livrar a cara da sua família corrupta e pra isso ele mostrou estar disposto a enterrar toda a luta contra a corrupção nesse país!! 	 0 	 0 	 1 	 1
42 	 O crime compensa, sim, disse hoje a 2a Turma do STF ao louvar a ação de hackers e dar seguimento ao longo cortejo fúnebre da Lava Jato. Kassio Nunes, que Bolsonaro disse estar 100% alinhado, faz questão de carregar pela alça frontal o caixão do combate à corrupção. Vergonhoso! 	 @marcelvanhattem A Lava-Jato não deixou de existir, ela apenas integra agora o (Gaeco) que possue um número de atuação menor, mas se mantém no combate a Corrupção junto a outros órgãos. Kassio Nunes, foi e é um erro Fatal que foi indicado ao Supremo, e votou como relator. Mas convenhamos (...) 	 0 	 0 	 1 	 1
43 	 O crime compensa, sim, disse hoje a 2a Turma do STF ao louvar a ação de hackers e dar seguimento ao longo cortejo fúnebre da Lava Jato. Kassio Nunes, que Bolsonaro disse estar 100% alinhado, faz questão de carregar pela alça frontal o caixão do combate à corrupção. Vergonhoso! 	 @marcelvanhattem Seu comentário foi com intenção de culpar o Bolsonaro? Culpa é de vcs que não faz leis para barrar esse sstf. São 11 urubus e NÃO 1. Cansei de suas indiretas. Deixando de seguir em todas redes sociais. 	 0 	 0 	 0 	 1
44 	 O crime compensa, sim, disse hoje a 2a Turma do STF ao louvar a ação de hackers e dar seguimento ao longo cortejo fúnebre da Lava Jato. Kassio Nunes, que Bolsonaro disse estar 100% alinhado, faz questão de carregar pela alça frontal o caixão do combate à corrupção. Vergonhoso! 	 @marcelvanhattem @jairbolsonaro errou feio ao indicar essa pária. O preço do centrão foi alto. Espero q pelo menos as reformas sejam aprovadas. Corrupção em troca de sobrevivência econômica. Caso as reformas ñ passem, o pres. já era. E ñ me refiro a refs. meia boca como as q querem aprovar ñ. 	 0 	 0 	 1 	 0
45 	 O crime compensa, sim, disse hoje a 2a Turma do STF ao louvar a ação de hackers e dar seguimento ao longo cortejo fúnebre da Lava Jato. Kassio Nunes, que Bolsonaro disse estar 100% alinhado, faz questão de carregar pela alça frontal o caixão do combate à corrupção. Vergonhoso! 	 @marcelvanhattem Legal... agora estamos livres pra sair por aí hackeando quem queremos incriminar. Se produto de hacker serve pra absolver bandido então deve servir pra incriminar. Será que vale pra hackers que invadirem celulares de ministros? E do sistema de processos do STF?  E das conversas? 	 0 	 0 	 0 	 1
46 	 O Presidente @jairbolsonaro quer baixar preço do combustível. O governador @jdoriajr é contra. Quem está do lado do Povo???? Mentira é que nem gravidez, sempre aparece!!! https://t.co/Uns01aQKNG 	 @marcofeliciano @AdalbertoGeroni @jairbolsonaro @jdoriajr O calça apertada tá com medo de quê??? Ferraram com os estados com constantes Lockdowns. E botaram a culpa da crise na federação. Agora é a vez do presidente ferrar com vcs, governadores de bosta. 	 0 	 0 	 0 	 1
47 	 O Presidente @jairbolsonaro quer baixar preço do combustível. O governador @jdoriajr é contra. Quem está do lado do Povo???? Mentira é que nem gravidez, sempre aparece!!! https://t.co/Uns01aQKNG 	 @marcofeliciano @jairbolsonaro @jdoriajr As pedras da rua sabem que a maior carga tributária no Brasil é da União, e não dos Estados. Mas é fácil o Presidente falar em reduzir impostos que não lhe dizem respeito. Agrada os trouxas e alimenta as camélias que ocupam cargo no Legislativo e mamam nas tetas da rica União. 	 0 	 0 	 0 	 1
48 	 O Presidente @jairbolsonaro quer baixar preço do combustível. O governador @jdoriajr é contra. Quem está do lado do Povo???? Mentira é que nem gravidez, sempre aparece!!! https://t.co/Uns01aQKNG 	 @marcofeliciano @jairbolsonaro @jdoriajr Poxa deputado! Vocês com a máquina na mão e não montam um vídeo o cartilhas explicando a composição do combustível. O ICMS é cálculado pelo PMPF em MG São 32% de alicota em cima do PMPF! É bitributação! Da mais de R$1,30 só de imposto Estadual por litro! 	 0 	 0 	 0 	 1
49 	 O Presidente @jairbolsonaro quer baixar preço do combustível. O governador @jdoriajr é contra. Quem está do lado do Povo???? Mentira é que nem gravidez, sempre aparece!!! https://t.co/Uns01aQKNG 	 @marcofeliciano @jairbolsonaro @jdoriajr Deixa de ser escroto. O governo federal poderia fazer uma política de preço diferenciado do petróleo. Para exportar o preço seria do mercado internacional. Já para dentro do país um valor diferente.  Vocês são safados 	 0 	 0 	 0 	 1
50 	 O Presidente @jairbolsonaro quer baixar preço do combustível. O governador @jdoriajr é contra. Quem está do lado do Povo???? Mentira é que nem gravidez, sempre aparece!!! https://t.co/Uns01aQKNG 	 @marcofeliciano @jairbolsonaro @jdoriajr @AssembleiaSP o governador quer fazer o estado andar pra trás o povo não quer saber de arrecadação o povo quer pagar menos imposto qual parte vcs não entendem ? Tira esse cara do governo ou ele vai tirar todos vcs cambada de bunda mole. Não adianta falar nada eu não sou político 	 0 	 0 	 0 	 0
51 	 Mas pq os ministros do STF não se contentam em ser só juízes ??? 	 @marcofeliciano Deputado, a Constituição deixa essa margem de atuação. Precisamos impor limites a essa discricionariedade distorcida pelos atuais integrantes do STF e Sr. está no local certo para mexer nisso. 	 0 	 0 	 1 	 1
52 	 Mas pq os ministros do STF não se contentam em ser só juízes ??? 	 @marcofeliciano Não, eles tem que militar pelo PT, soltar o André do RAP, interferir no Executivo.... tudo pra atingir o grande objetivo do STF que é reconduzir o PT ao pode. 	 0 	 0 	 0 	 1
53 	 Mas pq os ministros do STF não se contentam em ser só juízes ??? 	 @marcofeliciano Porque no Brasil não tem macho o suficiente para invadir aquele antro e por aqueles urubus pra correr. O exército só serve pra fazer asfalto e o restante tudo bunda mole. País  de  covardes 	 0 	 0 	 0 	 1
54 	 Mas pq os ministros do STF não se contentam em ser só juízes ??? 	 @marcofeliciano Porque as instituições @camaradeputados e @SenadoFederal estão subordinados ao STF. São cordeirinhos espantados que não podem contrariar as ordens do Supremo Deuses. O voto no Brasil não serve absolutamente pra nada. 	 0 	 0 	 0 	 1
55 	 Mas pq os ministros do STF não se contentam em ser só juízes ??? 	 @marcofeliciano Vcs deputados e senadores precisam cortar as asas desses togados! Não adianta escrever aqui e vcs que tem o poder para dar um basta não o fazem! 	 0 	 0 	 0 	 0
56 	 Bolsonaro considera a parte pelo todo. Acha que seu mundo extremo representa o país. O povo não está vibrando. O povo não quer armas. A população anseia pelas vacinas. 	 @RodrigoMaia Você foi um fiador desse governo. Toma vergonha na sua cara. Você fez parte desse governo e foi condescendente com este criminoso.Você aprovou uma reforma da previdência prejudicando os mais pobres e dando aumento salarial aos militares.Cúmplice! Na pandemia n fez nada. Hipócrita 	 0 	 0 	 1 	 0
57 	 Bolsonaro considera a parte pelo todo. Acha que seu mundo extremo representa o país. O povo não está vibrando. O povo não quer armas. A população anseia pelas vacinas. 	 @RodrigoMaia O senhor, está sem o que dizer não  inventa estamos vibrando mesmo, é com sua saida da presidência da Câmara, arma é o de menos, estamos juntos com Bolsonaro, fora  tranca pauta.A palavra que de descreve é.Invejoso.Deus no comando sempre. 	 0 	 0 	 0 	 1
